,Unnamed: 0,Conv_ID,MovieID,Title,Year,IMDB_Rating,Votes,Genres,Length_Female,Length_Male,Total_Length,Percent_Female,Percent_Male
0,0,c0,m0,10 Things I Hate About You,1999,6.9,62847.0,['comedy' 'romance'],31,24,55,0.5636363636363636,0.4363636363636363
1,1,c1,m0,10 Things I Hate About You,1999,6.9,62847.0,['comedy' 'romance'],11,2,13,0.8461538461538461,0.1538461538461538
2,2,c10,m0,10 Things I Hate About You,1999,6.9,62847.0,['comedy' 'romance'],17,10,27,0.6296296296296297,0.3703703703703703
3,3,c10000,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],33,23,56,0.5892857142857143,0.4107142857142857
4,4,c10001,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],2,10,12,0.1666666666666666,0.8333333333333334
5,5,c10002,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],20,11,31,0.6451612903225806,0.3548387096774194
6,6,c10003,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],11,14,25,0.44,0.56
7,7,c10004,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],27,11,38,0.7105263157894737,0.2894736842105263
8,8,c10005,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],12,2,14,0.8571428571428571,0.1428571428571428
9,9,c10006,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],13,22,35,0.3714285714285714,0.6285714285714286
10,10,c10007,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],5,5,10,0.5,0.5
11,11,c10008,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],31,6,37,0.8378378378378378,0.1621621621621621
12,12,c10009,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],9,4,13,0.6923076923076923,0.3076923076923077
13,13,c10010,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],4,3,7,0.5714285714285714,0.4285714285714285
14,14,c10011,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],2,8,10,0.2,0.8
15,15,c10012,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],65,49,114,0.5701754385964912,0.4298245614035088
16,16,c10013,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],7,31,38,0.1842105263157894,0.8157894736842105
17,17,c10014,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],81,21,102,0.7941176470588235,0.2058823529411764
18,18,c10015,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],2,7,9,0.2222222222222222,0.7777777777777778
19,19,c1012,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],16,14,30,0.5333333333333333,0.4666666666666667
20,20,c10123,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],17,32,49,0.3469387755102041,0.6530612244897959
21,21,c10124,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],11,8,19,0.5789473684210527,0.4210526315789473
22,22,c10125,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],3,27,30,0.1,0.9
23,23,c10126,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],5,10,15,0.3333333333333333,0.6666666666666666
24,24,c10127,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],1,51,52,0.0192307692307692,0.9807692307692308
25,25,c10128,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],5,3,8,0.625,0.375
26,26,c10129,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],64,66,130,0.4923076923076923,0.5076923076923077
27,27,c1013,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],21,9,30,0.7,0.3
28,28,c10130,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],9,1,10,0.9,0.1
29,29,c10131,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],26,78,104,0.25,0.75
30,30,c10132,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],43,65,108,0.3981481481481481,0.6018518518518519
31,31,c10133,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],81,55,136,0.5955882352941176,0.4044117647058823
32,32,c10134,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],21,35,56,0.375,0.625
33,33,c10135,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],36,27,63,0.5714285714285714,0.4285714285714285
34,34,c10136,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],58,49,107,0.5420560747663551,0.4579439252336448
35,35,c10137,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],24,8,32,0.75,0.25
36,36,c10138,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],44,22,66,0.6666666666666666,0.3333333333333333
37,37,c10139,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],9,1,10,0.9,0.1
38,38,c1014,m7,A Nightmare On Elm Street 4: The Dream Master,1988,5.2,13590.0,['fantasy' 'horror' 'thriller'],15,3,18,0.8333333333333334,0.1666666666666666
39,39,c10140,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],12,12,24,0.5,0.5
40,40,c10141,m72,Ghost World,2001,7.7,43550.0,['comedy' 'drama'],3,10,13,0.2307692307692307,0.7692307692307693
