,Unnamed: 0,Character_ID,Movie_ID,Title,Gender,Position_in_Credits,Character,Character_Line_Count,Movie_Line_Count,Character_Line_Percent
0,0,u0,m0,10 Things I Hate About You,f,4,BIANCA,98,668,0.1467065868263473
1,1,u1,m0,10 Things I Hate About You,?,?,BRUCE,3,668,0.0044910179640718
2,2,u10,m0,10 Things I Hate About You,?,?,SHARON,9,668,0.0134730538922155
3,3,u11,m0,10 Things I Hate About You,m,9,WALTER,42,668,0.0628742514970059
4,4,u2,m0,10 Things I Hate About You,m,3,CAMERON,78,668,0.1167664670658682
5,5,u3,m0,10 Things I Hate About You,?,?,CHASTITY,8,668,0.0119760479041916
6,6,u4,m0,10 Things I Hate About You,m,6,JOEY,37,668,0.0553892215568862
7,7,u5,m0,10 Things I Hate About You,f,2,KAT,154,668,0.2305389221556886
8,8,u6,m0,10 Things I Hate About You,f,7,MANDELLA,25,668,0.0374251497005988
9,9,u7,m0,10 Things I Hate About You,m,5,MICHAEL,62,668,0.092814371257485
10,10,u8,m0,10 Things I Hate About You,?,?,MISS PERKY,12,668,0.0179640718562874
11,11,u9,m0,10 Things I Hate About You,m,1,PATRICK,140,668,0.2095808383233532
12,12,u100,m6,8Mm,f,7,AMY,34,584,0.0582191780821917
13,13,u101,m6,8Mm,?,?,ANGRY DEALER,4,584,0.0068493150684931
14,14,u102,m6,8Mm,?,?,DINO,7,584,0.011986301369863
15,15,u103,m6,8Mm,m,4,DINO VELVET,34,584,0.0582191780821917
16,16,u104,m6,8Mm,?,?,DIRECTOR,12,584,0.0205479452054794
17,17,u105,m6,8Mm,m,3,EDDIE,51,584,0.0873287671232876
18,18,u106,m6,8Mm,m,5,LONGDALE,21,584,0.035958904109589
19,19,u107,m6,8Mm,?,?,MALE VOICE,3,584,0.0051369863013698
20,20,u108,m6,8Mm,m,2,MAX,54,584,0.0924657534246575
21,21,u109,m6,8Mm,m,?,MRS CHRISTIAN,41,584,0.0702054794520548
22,22,u110,m6,8Mm,m,?,MRS MATHEWS,39,584,0.0667808219178082
23,23,u111,m6,8Mm,?,?,NUN,6,584,0.0102739726027397
24,24,u112,m6,8Mm,?,?,POLITICIAN,3,584,0.0051369863013698
25,25,u113,m6,8Mm,?,?,SALESPERSON,5,584,0.0085616438356164
26,26,u114,m6,8Mm,m,1,WELLES,270,584,0.4623287671232877
27,27,u1000,m65,From Dusk Till Dawn,?,?,MCGRAW,9,448,0.0200892857142857
28,28,u1001,m65,From Dusk Till Dawn,?,?,PETE,13,448,0.0290178571428571
29,29,u1002,m65,From Dusk Till Dawn,?,?,RAZOR CHARLIE,4,448,0.0089285714285714
30,30,u1003,m65,From Dusk Till Dawn,m,3,RICHARD,71,448,0.1584821428571428
31,31,u1004,m65,From Dusk Till Dawn,?,?,SCOTT,23,448,0.0513392857142857
32,32,u1005,m65,From Dusk Till Dawn,m,2,SETH,169,448,0.3772321428571428
33,33,u1006,m65,From Dusk Till Dawn,?,?,STANLEY CHASE,5,448,0.0111607142857142
34,34,u995,m65,From Dusk Till Dawn,?,?,BORDER GUARD,5,448,0.0111607142857142
35,35,u996,m65,From Dusk Till Dawn,?,?,CARLOS,10,448,0.0223214285714285
36,36,u997,m65,From Dusk Till Dawn,m,1,JACOB,91,448,0.203125
37,37,u998,m65,From Dusk Till Dawn,f,4,KATE,44,448,0.0982142857142857
38,38,u999,m65,From Dusk Till Dawn,?,?,KELLY HOUGE,4,448,0.0089285714285714
39,39,u1007,m66,G.I. Jane,?,?,BLONDELL,14,498,0.0281124497991967
40,40,u1008,m66,G.I. Jane,m,17,C.O.,35,498,0.0702811244979919
41,41,u1009,m66,G.I. Jane,?,?,CORTEZ,8,498,0.0160642570281124
42,42,u1010,m66,G.I. Jane,f,3,DEHAVEN,43,498,0.0863453815261044
43,43,u1011,m66,G.I. Jane,?,?,DEHAVEN'S AIDE,4,498,0.0080321285140562
44,44,u1012,m66,G.I. Jane,?,?,FLAG OFFICER #1,3,498,0.0060240963855421
45,45,u1013,m66,G.I. Jane,?,?,FLEA,7,498,0.0140562248995983
46,46,u1014,m66,G.I. Jane,?,?,HAYES,10,498,0.0200803212851405
47,47,u1015,m66,G.I. Jane,?,?,INSTRUCTOR JOHNS,6,498,0.0120481927710843
48,48,u1016,m66,G.I. Jane,?,?,INSTRUCTOR PYRO,13,498,0.0261044176706827
49,49,u1017,m66,G.I. Jane,f,1,JORDAN,195,498,0.3915662650602409
50,50,u1018,m66,G.I. Jane,?,?,MCCOOL,16,498,0.0321285140562249
51,51,u1019,m66,G.I. Jane,m,4,ROYCE,56,498,0.1124497991967871
52,52,u1020,m66,G.I. Jane,?,?,SLUTNIK,14,498,0.0281124497991967
53,53,u1021,m66,G.I. Jane,?,?,THE CHIEF,38,498,0.0763052208835341
54,54,u1022,m66,G.I. Jane,?,?,THE SPOOK,14,498,0.0281124497991967
55,55,u1023,m66,G.I. Jane,m,13,WICKWIRE,22,498,0.0441767068273092
56,56,u1024,m67,Godzilla,m,4,ANIMAL,28,305,0.0918032786885245
57,57,u1025,m67,Godzilla,f,3,AUDREY,77,305,0.2524590163934426
58,58,u1026,m67,Godzilla,?,?,CAIMAN,11,305,0.0360655737704918
59,59,u1027,m67,Godzilla,?,?,ELSIE,9,305,0.0295081967213114
60,60,u1028,m67,Godzilla,?,?,JEAN-CLAUDE,4,305,0.0131147540983606
61,61,u1029,m67,Godzilla,?,?,KID,3,305,0.0098360655737704
62,62,u1030,m67,Godzilla,?,?,LT. ANDERSON,3,305,0.0098360655737704
63,63,u1031,m67,Godzilla,?,?,LUCY,18,305,0.0590163934426229
64,64,u1032,m67,Godzilla,m,?,MAJOR HICKS,30,305,0.0983606557377049
65,65,u1033,m67,Godzilla,?,?,MAYOR,5,305,0.0163934426229508
66,66,u1034,m67,Godzilla,m,?,NICK,84,305,0.2754098360655738
67,67,u1035,m67,Godzilla,?,?,RAYMOND,33,305,0.1081967213114754
68,68,u1036,m68,Galaxy Quest,m,3,ALEXANDER,72,574,0.1254355400696864
69,69,u1037,m68,Galaxy Quest,m,12,BRANDON,34,574,0.0592334494773519
70,70,u1038,m68,Galaxy Quest,?,?,COMPUTER,10,574,0.0174216027874564
71,71,u1039,m68,Galaxy Quest,?,?,FRED,17,574,0.0296167247386759
72,72,u1040,m68,Galaxy Quest,?,?,GUY,33,574,0.0574912891986062
73,73,u1041,m68,Galaxy Quest,f,2,GWEN,92,574,0.1602787456445993
74,74,u1042,m68,Galaxy Quest,m,1,JASON,180,574,0.313588850174216
75,75,u1043,m68,Galaxy Quest,?,?,KYLE,4,574,0.0069686411149825
76,76,u1044,m68,Galaxy Quest,?,?,LATHE,5,574,0.0087108013937282
77,77,u1045,m68,Galaxy Quest,m,7,MATHESAR,29,574,0.0505226480836236
78,78,u1046,m68,Galaxy Quest,?,?,NERVOUS TECH,3,574,0.0052264808362369
79,79,u1047,m68,Galaxy Quest,m,9,QUELLEK,17,574,0.0296167247386759
80,80,u1048,m68,Galaxy Quest,?,?,SARRIS,21,574,0.0365853658536585
81,81,u1049,m68,Galaxy Quest,m,6,TOMMY,57,574,0.0993031358885017
