,Conv_ID,Title,MovieID,Year,Female,Count,Convo_Genders
0,c0,10 things i hate about you,m0,1999,2,4,mf
1,c1,10 things i hate about you,m0,1999,1,2,mf
2,c10,10 things i hate about you,m0,1999,1,2,mf
3,c100,10 things i hate about you,m0,1999,0,2,mm
4,c1000,a nightmare on elm street 4: the dream master,m7,1988,1,3,mf
5,c10000,ghost world,m72,2001,3,5,mf
6,c10001,ghost world,m72,2001,1,2,mf
7,c10002,ghost world,m72,2001,2,4,mf
8,c10003,ghost world,m72,2001,1,2,mf
9,c10004,ghost world,m72,2001,2,4,mf
10,c10005,ghost world,m72,2001,1,2,mf
11,c10006,ghost world,m72,2001,2,3,mf
12,c10007,ghost world,m72,2001,1,2,mf
13,c10008,ghost world,m72,2001,2,5,mf
14,c10009,ghost world,m72,2001,2,4,mf
15,c1001,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
16,c10010,ghost world,m72,2001,1,2,mf
17,c10011,ghost world,m72,2001,1,2,mf
18,c10012,ghost world,m72,2001,7,14,mf
19,c10013,ghost world,m72,2001,1,2,mf
20,c10014,ghost world,m72,2001,5,10,mf
21,c10015,ghost world,m72,2001,1,3,mf
22,c10016,ghost world,m72,2001,4,4,ff
23,c10017,ghost world,m72,2001,6,6,ff
24,c10018,ghost world,m72,2001,2,2,ff
25,c10019,ghost world,m72,2001,6,6,ff
26,c1002,a nightmare on elm street 4: the dream master,m7,1988,1,3,mf
27,c10020,ghost world,m72,2001,2,2,ff
28,c10021,ghost world,m72,2001,3,3,ff
29,c10022,ghost world,m72,2001,3,3,ff
30,c10023,ghost world,m72,2001,4,4,ff
31,c10024,ghost world,m72,2001,6,6,ff
32,c10025,ghost world,m72,2001,2,2,ff
33,c10026,ghost world,m72,2001,2,2,ff
34,c10027,ghost world,m72,2001,3,3,ff
35,c10028,ghost world,m72,2001,5,5,ff
36,c10029,ghost world,m72,2001,2,2,ff
37,c1003,a nightmare on elm street 4: the dream master,m7,1988,2,4,mf
38,c10030,ghost world,m72,2001,2,2,ff
39,c10031,ghost world,m72,2001,2,2,ff
40,c10032,ghost world,m72,2001,2,2,ff
41,c10033,ghost world,m72,2001,3,3,ff
42,c10034,ghost world,m72,2001,5,5,ff
43,c10035,ghost world,m72,2001,5,5,ff
44,c10036,ghost world,m72,2001,2,2,ff
45,c10037,ghost world,m72,2001,4,4,ff
46,c10038,ghost world,m72,2001,3,3,ff
47,c10039,ghost world,m72,2001,2,2,ff
48,c1004,a nightmare on elm street 4: the dream master,m7,1988,1,2,mf
49,c10040,ghost world,m72,2001,5,5,ff
50,c10041,ghost world,m72,2001,5,5,ff
51,c10042,ghost world,m72,2001,4,4,ff
52,c10043,ghost world,m72,2001,6,6,ff
53,c10044,ghost world,m72,2001,3,3,ff
54,c10045,ghost world,m72,2001,2,2,ff
55,c10046,ghost world,m72,2001,2,2,ff
56,c10047,ghost world,m72,2001,2,2,ff
57,c10048,ghost world,m72,2001,2,2,ff
58,c10049,ghost world,m72,2001,2,2,ff
59,c1005,a nightmare on elm street 4: the dream master,m7,1988,2,4,mf
60,c10050,ghost world,m72,2001,2,2,ff
61,c10051,ghost world,m72,2001,2,2,ff
62,c10052,ghost world,m72,2001,2,2,ff
63,c10053,ghost world,m72,2001,2,2,ff
64,c10054,ghost world,m72,2001,2,2,ff
65,c10055,ghost world,m72,2001,3,3,ff
66,c10056,ghost world,m72,2001,3,3,ff
67,c10057,ghost world,m72,2001,2,2,ff
68,c10058,ghost world,m72,2001,2,2,ff
