,movie_id,title,year
75,m75,Ghostbusters,1986
96,m96,Invaders From Mars,1953
114,m114,L�On,1994
115,m115,Labor Of Love,1998
135,m135,Mighty Morphin Power Rangers,1994
138,m138,My Mother Dreams The Satans Disciples In New York,1998
159,m159,Pirates Of The Caribbean,2003
160,m160,Plastic Man,1999
165,m165,Rko 281,1999
181,m181,Simone,2010
193,m193,Star Trek The Wrath Of Khan,1982
227,m227,New Nightmare,1994
237,m237,Alien Vs Predator,1993
265,m265,Beetle Juice,1988
278,m278,Body Of Evidence,1993
308,m308,Crazy Love,2007
310,m310,Crouching Tiger Hidden Dragon,2003
322,m322,The Devil And Daniel Webster,2004
337,m337,Star Wars The Empire Strikes Back,1982
354,m354,Five Feet High And Rising,2000
360,m360,Jason Lives Friday The 13Th Part Vi,1986
385,m385,Hellraiser Hellseeker,2002
420,m420,Last Of The Mohicans,1977
431,m430,Manhunt,2003
448,m447,Arcade,1993
450,"m449	""murderland""	2009	5.80	88	['crime' 'drama' 'mystery']",Nan,nan
458,m457,Neuromancer,1988
482,m481,The Producers,1968
487,m486,Quantum Project,2000
489,m488,Red White Black  Blue,2006
496,m495,Route 9,1998
529,m527,Spare Me,1992
537,m535,Stranglehold,2007
590,m588,Uturn,1973
605,m603,The Witching Hour,1996
607,m605,Whos Your Daddy,2003
